,position,x,x+n,y,y+n,lon,lat,m_shoreline,m_transect,x_avg,y_avg,c_shoreline,c_transect,delta_y,delta_x,x_new,y_new,intersect_distance,transect_angle,avg_slope_change,shoreline_direction,year1,year2,island,proxy,id,square,prev_intersect_distance,previous
0,134,2496633.229298768,2496673.9057589676,-727081.5725665141,-727148.3784740608,-97.27544134441989,-71.25731994751008,-1.6423726946486172,0.6088751982167776,2496653.567528868,-727114.9755202874,3373320.6717861835,-2247265.411328052,520.0588392435693,854.130437184293,2497507.697966052,-726594.9166810438,-4.123988962107159,31.336198400185463,15.654719186725577,58.66380159981454,2002.375,2003.0416666666667,Nanumea,WM,1,528647613165.79517,0.0,0.0
108,75,2496118.9889771007,2496166.671922639,-728335.4620216244,-728386.6298703277,-97.23943288124967,-71.2576321498187,-1.0730848970331832,0.9318927167503288,2496142.83044987,-728361.045945976,1950212.1262474414,-3054498.3696107604,681.7547849837214,731.5807632461366,2496874.411213116,-727679.2911609923,-20.47485826698216,42.98092078051402,-33.9381583913625,47.01907921948599,2002.375,2003.0416666666667,Nanumea,WM,1,530472545238.2531,0.0,0.0
109,76,2496166.671922639,2496223.7726353784,-728386.6298703277,-728434.9517506179,-97.23861080186995,-71.25709602193167,-0.8462570425490485,1.1816740655863323,2496195.2222790085,-728410.7908104728,1384011.9956204258,-3678099.9476180873,763.3474399105829,645.9881469361175,2496841.2104259445,-727647.4433705622,1.223563211697875,49.76019617873353,0.407191298557656,40.23980382126647,2002.375,2003.0416666666667,Nanumea,WM,1,530547082573.8537,0.0,0.0
121,88,2496620.486848648,2496661.488201569,-729167.1961352846,-729235.2889023415,-97.22349630395003,-71.25110291172739,-1.660744395158173,0.6021396205914985,2496640.9875251083,-729201.2425188131,3417081.2842356768,-2232527.699500366,515.8428971277756,856.6832001871072,2497497.6707252953,-728685.3996216854,-0.6693530317716587,31.053812059943176,-0.5060971196814092,58.946187940056824,2002.375,2003.0416666666667,Nanumea,WM,1,531684799919.7926,0.0,0.0
111,78,2496243.022271245,2496274.3371797325,-728511.2274678383,-728582.916947135,-97.23623432968314,-71.25610821333602,-2.2893082802648212,0.4368131669380598,2496258.6797254886,-728547.0722074867,4986158.592971005,-1818945.7315949975,400.2904792452709,916.3883086473721,2497175.068034136,-728146.7817282415,-10.879459102645077,23.5963389925129,-16.589395303596532,66.4036610074871,2002.375,2003.0416666666667,Nanumea,WM,1,530728608546.6965,0.0,0.0
112,79,2496274.3371797325,2496291.6480180267,-728582.916947135,-728660.2534462985,-97.23474816960372,-71.25564064311175,-4.467519010293919,0.2238378835536751,2496282.9925988796,-728621.5851967167,10423570.139312172,-1287384.2870110841,218.4326521419031,975.8520259128708,2497258.8446247927,-728403.1525445748,-27.59329537276593,12.616991781233367,11.507365932295073,77.38300821876663,2002.375,2003.0416666666667,Nanumea,WM,1,530833066867.1958,0.0,0.0
113,80,2496291.6480180267,2496313.766308765,-728660.2534462985,-728734.535821388,-97.23298972977379,-71.25526783586946,-3.3584139013587837,0.2977596059840656,2496302.707163396,-728697.3946338433,7654920.31910327,-1471995.5051357723,285.37734410811294,958.4152395855357,2497261.1224029814,-728412.0172897353,-47.83432401762782,16.581405571533047,16.06752758594632,73.41859442846696,2002.375,2003.0416666666667,Nanumea,WM,1,530945764952.424,0.0,0.0
114,81,2496313.766308765,2496360.556216053,-728734.535821388,-728796.2269460851,-97.23135258066137,-71.25486585877802,-1.3184707615901294,0.7584544376198068,2496337.161262409,-728765.3813837366,2562582.176811653,-2622123.3791384418,604.3024020337572,796.7550482401924,2497133.916310649,-728161.0789817029,-50.604154601478754,37.17865994725467,4.431795071512929,52.821340052745335,2002.375,2003.0416666666667,Nanumea,WM,1,531054023698.81384,0.0,0.0
85,44,2496292.763091637,2496242.277933521,-728974.1999339745,-728915.9109295039,-97.22519982899237,-71.25430681333165,-1.1545770409827965,0.8661180367390489,2496267.520512579,-728945.0554317392,2153188.1119031366,-2891007.3794735475,654.6936816319464,755.8942936887456,2495511.6262188903,-729599.7491133711,9.119800500291099,40.89642735430167,5.648219517686573,229.10357264569834,2002.375,2003.0416666666667,Nanumea,WM,1,531403384169.3783,0.0,0.0
115,82,2496360.556216053,2496416.1911388123,-728796.2269460851,-728834.1338645045,-97.23026099885179,-71.25430491879821,-0.6813511467162027,1.4676719997016772,2496388.3736774325,-728815.1804052948,972101.9006488202,-4392694.4968324695,826.4069441639394,563.073319060333,2496951.446996493,-727988.7734611308,-33.59641808475008,55.73139416441496,7.742990293313259,34.26860583558504,2002.375,2003.0416666666667,Nanumea,WM,1,531143940410.8496,0.0,0.0
117,84,2496444.9360165084,2496487.0517715313,-728907.1795761397,-728974.4028147028,-97.2283000893631,-71.25329422635542,-1.5961541833098527,0.6265058917593774,2496465.99389402,-728940.7911954212,3255803.8484493084,-2292991.444946955,530.9162956281347,847.4242662542176,2497313.418160274,-728409.8748997931,-24.55625979705365,32.067386158169235,-15.056182623708416,57.932613841830765,2002.375,2003.0416666666667,Nanumea,WM,1,531305676437.6427,0.0,0.0
118,85,2496487.0517715313,2496540.463364707,-728974.4028147028,-729031.0463036643,-97.22702719024275,-71.25275383661965,-1.0605092563966896,0.9429432076790325,2496513.757568119,-729002.7245591836,1918573.2240634877,-3083073.4151353003,686.0460166478533,727.5581509691259,2497241.315719088,-728316.6785425358,-1.708114077154074,43.317926054000935,6.896805492937342,46.682073945999065,2002.375,2003.0416666666667,Nanumea,WM,1,531403679959.0526,0.0,0.0
119,86,2496540.463364707,2496574.7363817208,-729031.0463036643,-729102.5186823121,-97.22612372154514,-71.25215527575745,-2.0853833386993537,0.47952814307210134,2496557.599873214,-729066.7824929883,4477212.84038586,-1926236.4124327328,432.38523910935504,901.6889735381851,2497459.288846752,-728634.3972538789,-1.9891428994161966,25.619028916998147,-0.5067870491093638,64.38097108300185,2002.375,2003.0416666666667,Nanumea,WM,1,531486266474.6156,0.0,0.0
120,87,2496574.7363817208,2496620.486848648,-729102.5186823121,-729167.1961352846,-97.22467145417652,-71.25166464414082,-1.4137003907547854,0.7073634601360564,2496597.6116151847,-729134.8574087983,2800306.1616890524,-2495136.7825283296,577.4899621559897,816.3977851568889,2497414.0094003417,-728557.3674466423,1.812335067184488,35.274192910136854,-8.754798969547828,54.72580708986315,2002.375,2003.0416666666667,Nanumea,WM,1,531590482748.8913,0.0,0.0
122,89,2496661.488201569,2496696.008096926,-729235.2889023415,-729306.6702552941,-97.22219160363238,-71.25056875457231,-2.067832251928458,0.483598221793572,2496678.7481492474,-729270.9795788177,4433441.858548565,-1936660.382573595,435.3619588315303,900.255499734588,2497579.003648982,-728835.6176199862,-2.1972109998767912,25.8083281149026,4.6346408360319185,64.1916718850974,2002.375,2003.0416666666667,Nanumea,WM,1,531784106580.4815,0.0,0.0
124,91,2496729.033134525,2496783.2435304746,-729378.7804659948,-729433.8617020708,-97.21926460652547,-71.24959375419336,-1.0160640798002019,0.9841898949883547,2496756.1383325,-729406.3210840328,1807457.9070962844,-3186688.482681026,701.4502588020578,712.7184117353263,2497468.8567442354,-728704.8708252307,-1.6318556010229266,44.54347458220253,49.720869084795964,45.45652541779747,2002.375,2003.0416666666667,Nanumea,WM,1,531993405394.0619,0.0,0.0
