TOB,previous,minn6,maxx6,minn11,maxx11
stable,stable,mid,high,high,low
erosion,stable,mid,high,high,low
stable,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
accretion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
stable,stable,mid,high,high,low
accretion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
accretion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
stable,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
erosion,stable,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
stable,accretion,mid,high,high,low
erosion,accretion,mid,high,high,low
erosion,accretion,mid,high,high,low
erosion,stable,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
erosion,accretion,mid,high,high,low
erosion,erosion,mid,high,high,low
erosion,erosion,mid,high,high,low
accretion,accretion,mid,high,high,low
stable,accretion,mid,high,high,low
erosion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
accretion,accretion,mid,high,high,low
stable,stable,mid,high,high,low
erosion,erosion,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
erosion,erosion,mid,high,high,low
erosion,erosion,mid,high,high,low
stable,erosion,mid,high,high,low
stable,erosion,mid,high,high,low
erosion,erosion,mid,high,high,low
stable,erosion,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
stable,stable,mid,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
erosion,accretion,low,high,high,low
stable,stable,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,stable,low,high,high,low
erosion,erosion,low,high,high,low
accretion,accretion,low,high,high,low
stable,erosion,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,erosion,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,stable,low,high,high,low
erosion,stable,low,high,high,low
stable,stable,low,high,high,low
stable,accretion,low,high,high,low
erosion,accretion,low,high,high,low
erosion,accretion,low,high,high,low
erosion,accretion,low,high,high,low
erosion,accretion,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
accretion,erosion,low,high,high,low
erosion,erosion,low,high,mid,mid
erosion,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
erosion,erosion,low,high,mid,mid
erosion,stable,low,high,mid,mid
accretion,erosion,low,high,mid,mid
stable,accretion,low,high,mid,mid
stable,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
accretion,accretion,low,high,mid,mid
accretion,stable,low,high,mid,mid
accretion,accretion,low,high,mid,mid
accretion,accretion,low,high,mid,mid
stable,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
stable,erosion,low,high,mid,mid
accretion,accretion,low,high,mid,mid
accretion,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
accretion,stable,low,high,mid,mid
erosion,erosion,low,high,mid,mid
erosion,stable,low,high,mid,mid
erosion,stable,low,high,mid,mid
stable,stable,low,high,mid,mid
erosion,erosion,low,high,mid,mid
accretion,erosion,low,high,mid,mid
stable,erosion,mid,mid,low,high
accretion,erosion,mid,mid,low,high
accretion,stable,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
stable,erosion,mid,mid,low,high
accretion,stable,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
stable,stable,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,accretion,mid,mid,low,high
accretion,stable,mid,mid,low,high
accretion,stable,mid,mid,low,high
accretion,accretion,mid,mid,low,high
erosion,stable,mid,mid,low,high
erosion,accretion,mid,mid,low,high
erosion,stable,mid,mid,low,high
erosion,stable,mid,mid,low,high
erosion,stable,mid,mid,low,high
erosion,accretion,mid,mid,low,high
stable,stable,mid,mid,low,high
erosion,stable,mid,mid,low,high
erosion,accretion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
stable,stable,mid,low,mid,high
accretion,stable,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,accretion,mid,low,mid,high
erosion,accretion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
stable,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
erosion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
stable,accretion,mid,low,mid,high
stable,accretion,mid,low,mid,high
accretion,accretion,mid,low,mid,high
accretion,accretion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
accretion,accretion,mid,low,mid,high
erosion,erosion,mid,low,mid,high
accretion,accretion,mid,low,mid,high
erosion,erosion,mid,low,mid,high
accretion,accretion,mid,low,mid,high
accretion,erosion,mid,low,mid,high
erosion,accretion,mid,low,mid,high
erosion,erosion,mid,low,mid,high
erosion,accretion,high,mid,mid,mid
stable,stable,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
accretion,erosion,high,mid,mid,mid
stable,stable,high,mid,mid,mid
stable,stable,high,mid,mid,mid
stable,stable,high,mid,mid,mid
stable,stable,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
accretion,stable,high,mid,mid,mid
stable,accretion,high,mid,mid,mid
stable,accretion,high,mid,mid,mid
stable,accretion,high,mid,mid,mid
stable,stable,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
accretion,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
accretion,stable,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
stable,accretion,high,mid,mid,mid
stable,accretion,high,mid,mid,mid
accretion,accretion,high,mid,mid,mid
accretion,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
stable,erosion,high,mid,mid,mid
erosion,erosion,low,mid,mid,low
accretion,stable,low,mid,mid,low
accretion,erosion,low,mid,mid,low
accretion,stable,low,mid,mid,low
accretion,stable,low,mid,mid,low
accretion,accretion,low,mid,mid,low
stable,stable,low,mid,mid,low
erosion,erosion,low,mid,mid,low
erosion,stable,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
